S. No,First Name,Email ID,Quantity,Events,Attendee Status,College Name,How did you come to know about this event?,Promotional Platforms,Others ,Designation,Year of Graduation,City,CGPA,CGPA Category,Experience with python (Months),Python Experience Level,Family Income,Expected salary (Lac),Expected Salary Category,Leadership- skills
1458,Peg,peg@xyz.com,1,Internship Program(IP) Success Conclave,Attending,St Xavier'S College ,N/A,N/A,,Students,2025,Chamba,6.9,6.0 - 7.0,6,Intermediate,7 Lakh+,21,20-40LPA,no 
1459,Lovella,lovella@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vidyalankar Institute Of Technology, Mumbai",N/A,N/A,,Students,2024,Kangra,9.2,9.1-10,3,Beginner,0-2 Lakh,30,20-40LPA,yes
1460,Quincy,quincy@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Government Polytechnic Gandhinagar,N/A,N/A,,Students,2026,Hamirpur,6.9,6.0 - 7.0,6,Intermediate,0-2 Lakh,24,20-40LPA,yes
1461,Meghan,meghan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",N/A,N/A,,Engineering ,2024,kullu,7.2,7.1-8.0,8,Expert,0-2 Lakh,8,5-10 LPA,no
1462,Mariah,mariah@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vishwakarma Institute Of Technology, Pune",N/A,N/A,,Students,2023,Mandi,7.5,7.1-8.0,8,Expert,0-2 Lakh,19,10-20LPA,no
1463,Loretta,loretta@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Priyadarshini College Of Engineering, Nagpur ",N/A,N/A,,Intern,2023,Una,7.5,7.1-8.0,5,Intermediate,0-2 Lakh,17,10-20LPA,yes
1464,Rosalind,rosalind@xyz.com,1,Internship Program(IP) Success Conclave,Attending,St.Francis Institute Of Technology,N/A,N/A,,Students,2025,Anantnag,6.9,6.0 - 7.0,6,Intermediate,0-2 Lakh,18,10-20LPA,no
1465,Dixie,dixie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Symbiosis Institute Of Technology, Pune",N/A,N/A,,Intern,2023,Gulmarg,7.3,7.1-8.0,6,Intermediate,0-2 Lakh,8,5-10 LPA,no
1466,Dena,dena@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Mit Academy Of Engineering ,Alandi",N/A,N/A,,Engineering ,2024,Jammu,6.7,6.0 - 7.0,8,Expert,0-2 Lakh,8,5-10 LPA,no
1467,Barry,barry@xyz.com,1,Internship Program(IP) Success Conclave,Attending,A. C. Patil College Of Engineering,N/A,N/A,,Students,2025,Punch,8.7,8.1-9.0,6,Intermediate,0-2 Lakh,8,5-10 LPA,yes
1468,Jocelyn,jocelyn@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Wilson College ,N/A,N/A,,Graphic designer ,2023,Rajouri,6.7,6.0 - 7.0,3,Beginner,0-2 Lakh,8,5-10 LPA,yes
1469,Doug,doug@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",N/A,N/A,,Intern,2024,Srinagar,9,8.1-9.0,5,Intermediate,0-2 Lakh,9,5-10 LPA,no 
1470,Courtney,courtney@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,N/A,N/A,,Students,2025,Udhampur,7.2,7.1-8.0,6,Intermediate,0-2 Lakh,9,5-10 LPA,no 
1471,Major,major@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Thakur Institute Of Management Studies, Career Development & Research - [Timscdr]",N/A,N/A,,BE,2023,Badmi,8.5,8.1-9.0,5,Intermediate,0-2 Lakh,17,10-20LPA,yes
1472,Cordie,cordie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Lokmanya Tilak College Of Engineering Koparkhairane Navi Mumbai,N/A,N/A,,Students,2026,Ballari,6.5,6.0 - 7.0,3,Beginner,0-2 Lakh,13,10-20LPA,yes
1473,Bette,bette@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Priyadarshini College Of Engineering, Nagpur ",N/A,N/A,,Mechanical Engineer,2024,Bengaluru,6.6,6.0 - 7.0,8,Expert,0-2 Lakh,11,10-20LPA,no
1474,Rafael,rafael@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vidyalankar Institute Of Technology, Mumbai",N/A,N/A,,Intern,2025,Belgavi,9.5,9.1-10,8,Expert,0-2 Lakh,15,10-20LPA,no
1475,Margarita,margarita@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Chhattisgarh Swami Vivekananda Technical University Teaching Department Bhilai,N/A,N/A,,Web Development,2024,Bidar,8.1,8.1-9.0,8,Expert,0-2 Lakh,19,10-20LPA,no
1476,Hattie,hattie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Silicon Institute Of Technology,N/A,N/A,,Data Science and Analyst,2023,Hasan,9.7,9.1-10,5,Intermediate,0-2 Lakh,18,10-20LPA,yes
1477,Reynaldo,reynaldo@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Adhiyamaan College Of Engineering,N/A,N/A,,Students,2023,Kolar,9.3,9.1-10,5,Intermediate,0-2 Lakh,12,10-20LPA,no
1478,Nicolas,nicolas@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Don Bosco College Of Engineering Fatorda Goa,N/A,N/A,,Students,2025,Mysuru,9.1,9.1-10,3,Beginner,0-2 Lakh,23,20-40LPA,no
1479,Curt,curt@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Pillai College Of Engineering New Panvel,N/A,N/A,,Intern,2024,Kochi,7.6,7.1-8.0,6,Intermediate,0-2 Lakh,8,5-10 LPA,no
1480,Dustin,dustin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,St Xavier'S College ,N/A,N/A,,Students,2024,Kollam,7.8,7.1-8.0,8,Expert,0-2 Lakh,9,5-10 LPA,no
1481,Octavio,octavio@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",N/A,N/A,,IT,2023,Bhopal,8.5,8.1-9.0,5,Intermediate,0-2 Lakh,13,10-20LPA,yes
1482,Yuko,yuko@xyz.com,1,Internship Program(IP) Success Conclave,Attending,G H Raisoni Institut Of Engineering And Technology Pune,N/A,N/A,,Students,2023,Dhar,8.7,8.1-9.0,8,Expert,0-2 Lakh,19,10-20LPA,yes
1483,Ernest,ernest@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Government Polytechnic Gandhinagar,N/A,N/A,,Intern,2025,Indore,8.3,8.1-9.0,8,Expert,0-2 Lakh,25,20-40LPA,no 
1484,Troy,troy@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",N/A,N/A,,Asst. Professor,2024,Guna,9.4,9.1-10,3,Beginner,0-2 Lakh,22,20-40LPA,no 
1485,Minnie,minnie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vishwakarma Institute Of Technology, Pune",N/A,N/A,,CSE,2025,Gwalior,8.6,8.1-9.0,6,Intermediate,0-2 Lakh,6,5-10 LPA,yes
1486,Myra,myra@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",N/A,N/A,,Engineering ,2024,Narwar,8.5,8.1-9.0,8,Expert,0-2 Lakh,9,5-10 LPA,yes
1487,Shawna,shawna@xyz.com,1,Internship Program(IP) Success Conclave,Attending,G H Raisoni Institut Of Engineering And Technology Pune,N/A,N/A,,Students,2023,Orchha,9.1,9.1-10,8,Expert,7 Lakh+,20,10-20LPA,no
1488,Jeffry,jeffry@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Government Polytechnic Gandhinagar,N/A,N/A,,Students,2023,Sagar,7.7,7.1-8.0,5,Intermediate,0-2 Lakh,15,10-20LPA,no
1489,Tyler,tyler@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vishwakarma Institute Of Technology, Pune",N/A,N/A,,Intern,2024,Ujjain,7.2,7.1-8.0,3,Beginner,0-2 Lakh,19,10-20LPA,yes
1490,Loreta,loreta@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",N/A,N/A,,Students,2024,Vidisha,7.6,7.1-8.0,5,Intermediate,0-2 Lakh,13,10-20LPA,no
1491,Lona,lona@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Priyadarshini College Of Engineering, Nagpur ",N/A,N/A,,Students,2023,Akola,7.3,7.1-8.0,3,Beginner,0-2 Lakh,11,10-20LPA,no
1492,Toni,toni@xyz.com,1,Internship Program(IP) Success Conclave,Attending,New Horizon Institute Of Technology And Management ,N/A,N/A,,Students,2025,Bhandara,9.4,9.1-10,6,Intermediate,0-2 Lakh,16,10-20LPA,no
1493,Agnes,agnes@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Late G. N. Sapkal College Of Engineering,N/A,N/A,,MTech,2024,Bhsawal,6.6,6.0 - 7.0,3,Beginner,0-2 Lakh,10,5-10 LPA,no
1494,Wesley,wesley@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Symbiosis Institute Of Technology, Pune",N/A,N/A,,Students,2025,Bid,6.6,6.0 - 7.0,3,Beginner,0-2 Lakh,10,5-10 LPA,yes
1495,Oscar,oscar@xyz.com,1,Internship Program(IP) Success Conclave,Attending,A. C. Patil College Of Engineering,N/A,N/A,,Founder,2023,Dhule,7.7,7.1-8.0,5,Intermediate,0-2 Lakh,12,10-20LPA,no 
1496,Darwin,darwin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Wilson College ,N/A,N/A,,Students,2026,Jalgaon,8.1,8.1-9.0,3,Beginner,0-2 Lakh,20,10-20LPA,no 
1497,Wiley,wiley@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",N/A,N/A,,Intern,2023,Kalyan,7.9,7.1-8.0,6,Intermediate,0-2 Lakh,21,20-40LPA,yes
1498,Elaine,elaine@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,N/A,N/A,,Students,2025,Thane,7.1,7.1-8.0,6,Intermediate,0-2 Lakh,9,5-10 LPA,yes
1499,Rosalie,rosalie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",N/A,N/A,,Students,2024,Navi Mumbai,8.3,8.1-9.0,3,Beginner,0-2 Lakh,9,5-10 LPA,no
1500,Brittney,brittney@xyz.com,1,Internship Program(IP) Success Conclave,Attending,G H Raisoni Institut Of Engineering And Technology Pune,N/A,N/A,,Students,2024,Mumbai,7.7,7.1-8.0,8,Expert,0-2 Lakh,8,5-10 LPA,no
1501,Margret,margret@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Government Polytechnic Gandhinagar,N/A,N/A,,Students,2023,Nagpur,8,7.1-8.0,3,Beginner,0-2 Lakh,7,5-10 LPA,no
1502,Vicente,vicente@xyz.com,1,Internship Program(IP) Success Conclave,Attending,D Y Patil Institute Of Mca And Management Akurdi Pune,N/A,N/A,,Students,2026,Kolhapur,9.4,9.1-10,8,Expert,7 Lakh+,18,10-20LPA,no
1503,Matthew,matthew@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Don Bosco College Of Engineering Fatorda Goa,N/A,N/A,,Students,2024,Matheran,6.7,6.0 - 7.0,5,Intermediate,0-2 Lakh,21,20-40LPA,no
1504,Dorothy,dorothy@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Pillai College Of Engineering New Panvel,N/A,N/A,,Students,2025,Nashik,7.9,7.1-8.0,6,Intermediate,0-2 Lakh,8,5-10 LPA,no
1505,Helen,helen@xyz.com,1,Internship Program(IP) Success Conclave,Attending,St Xavier'S College ,N/A,N/A,,Students,2023,Pune,9.3,9.1-10,5,Intermediate,0-2 Lakh,7,5-10 LPA,no
1506,Anthony,anthony@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vidyalankar Institute Of Technology, Mumbai",N/A,N/A,,BE IT,2024,Solapur,6.9,6.0 - 7.0,3,Beginner,0-2 Lakh,20,10-20LPA,yes
1507,Charles,charles@xyz.com,1,Internship Program(IP) Success Conclave,Attending,G H Raisoni Institut Of Engineering And Technology Pune,N/A,N/A,,Students,2025,Sangli,8.3,8.1-9.0,8,Expert,0-2 Lakh,13,10-20LPA,no 
1508,Andrea,andrea@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",N/A,N/A,,Students,2023,Wardha,8.1,8.1-9.0,5,Intermediate,0-2 Lakh,17,10-20LPA,yes
1509,Lauren,lauren@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",N/A,N/A,,Engineering ,2025,Vasai,9.6,9.1-10,6,Intermediate,0-2 Lakh,21,20-40LPA,no
1510,Susan,susan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Priyadarshini College Of Engineering, Nagpur ",N/A,N/A,,Students,2024,Shillong,7.5,7.1-8.0,5,Intermediate,0-2 Lakh,8,5-10 LPA,no
1511,Scott,scott@xyz.com,1,Internship Program(IP) Success Conclave,Attending,St.Francis Institute Of Technology,N/A,N/A,,Students,2024,Puri,7.9,7.1-8.0,5,Intermediate,0-2 Lakh,9,5-10 LPA,no
1512,Kevin,kevin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Late G. N. Sapkal College Of Engineering,N/A,N/A,,Students,2025,Cuttack,9.6,9.1-10,3,Beginner,0-2 Lakh,7,5-10 LPA,no
1513,Gary,gary@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Symbiosis Institute Of Technology, Pune",N/A,N/A,,Students,2023,Baleshwar,9.1,9.1-10,6,Intermediate,0-2 Lakh,25,20-40LPA,no
1514,Ashley,ashley@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Mit Academy Of Engineering ,Alandi",N/A,N/A,,Students,2025,Mahe,7.3,7.1-8.0,5,Intermediate,0-2 Lakh,21,20-40LPA,no
1515,Lisa,lisa@xyz.com,1,Internship Program(IP) Success Conclave,Attending,A. C. Patil College Of Engineering,N/A,N/A,,Engineering ,2024,Amritsar,7.5,7.1-8.0,3,Beginner,0-2 Lakh,30,20-40LPA,no
1516,Jacob,jacob@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Wilson College ,N/A,N/A,,Students,2026,Patiala,7.6,7.1-8.0,8,Expert,0-2 Lakh,24,20-40LPA,no
1517,Sherry,sherry@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",N/A,N/A,,Students,2024,Sangrur,8,7.1-8.0,8,Expert,0-2 Lakh,8,5-10 LPA,yes
1518,Frances,frances@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,N/A,N/A,,Students,2023,Ajmer,7.2,7.1-8.0,3,Beginner,0-2 Lakh,19,10-20LPA,yes
1519,Mark,mark@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Thakur Institute Of Management Studies, Career Development & Research - [Timscdr]",N/A,N/A,,Students,2023,Amer,9.1,9.1-10,8,Expert,7 Lakh+,21,20-40LPA,no 
1520,Christy,christy@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Priyadarshini College Of Engineering, Nagpur ",N/A,N/A,,Computer Engineer,2025,Bikaner,7.1,7.1-8.0,5,Intermediate,0-2 Lakh,18,10-20LPA,yes
1521,Kelly,kelly@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vidyalankar Institute Of Technology, Mumbai",N/A,N/A,,Students,2024,Jaipur,7.1,7.1-8.0,8,Expert,0-2 Lakh,9,5-10 LPA,yes
1522,Katherine,katherine@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Chhattisgarh Swami Vivekananda Technical University Teaching Department Bhilai,N/A,N/A,,Students,2026,Jalor,9.5,9.1-10,5,Intermediate,0-2 Lakh,8,5-10 LPA,no
1523,Katrina,katrina@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Don Bosco College Of Engineering Fatorda Goa,N/A,N/A,,Intern,2023,Kota,7.3,7.1-8.0,3,Beginner,0-2 Lakh,8,5-10 LPA,yes
1524,Kathleen,kathleen@xyz.com,1,Internship Program(IP) Success Conclave,Attending,St Xavier'S College ,N/A,N/A,,Intern,2024,Sikar,7.8,7.1-8.0,6,Intermediate,0-2 Lakh,7,5-10 LPA,no
1525,George,george@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vidyalankar Institute Of Technology, Mumbai",N/A,N/A,,Students,2025,Gangtok,9.1,9.1-10,3,Beginner,0-2 Lakh,7,5-10 LPA,no
1526,Maria,maria@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",N/A,N/A,,Engineering ,2024,Hyderbad,6.9,6.0 - 7.0,6,Intermediate,0-2 Lakh,8,5-10 LPA,no
1527,Thomas,thomas@xyz.com,1,Internship Program(IP) Success Conclave,Attending,G H Raisoni Institut Of Engineering And Technology Pune,N/A,N/A,,Intern,2023,Nizambad,8.4,8.1-9.0,8,Expert,0-2 Lakh,5,5-10 LPA,no
1528,Barbara,barbara@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Government Polytechnic Gandhinagar,N/A,N/A,,Students,2026,Agartala,6.7,6.0 - 7.0,5,Intermediate,0-2 Lakh,6,5-10 LPA,yes
1529,Stephanie,stephanie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",N/A,N/A,,Computer Engineer,2024,Agra,9.2,9.1-10,5,Intermediate,0-2 Lakh,6,5-10 LPA,yes
1530,Terry,terry@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vishwakarma Institute Of Technology, Pune",N/A,N/A,,Students,2023,Aligarh,7.3,7.1-8.0,5,Intermediate,7 Lakh+,7,5-10 LPA,no 
1531,Kevin,kevin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",N/A,N/A,,Students,2025,Gonda,7.9,7.1-8.0,5,Intermediate,0-2 Lakh,7,5-10 LPA,no 
1532,John,john@xyz.com,1,Internship Program(IP) Success Conclave,Attending,G H Raisoni Institut Of Engineering And Technology Pune,N/A,N/A,,Students,2025,Ghazipur,9.9,9.1-10,8,Expert,5-7 Lakh,22,20-40LPA,yes
1533,Charles,charles@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Government Polytechnic Gandhinagar,N/A,N/A,,Students,2024,Ghaziabad,7.6,7.1-8.0,6,Intermediate,2-5 Lakh,5,5-10 LPA,yes
1534,Jason,jason@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",N/A,N/A,,Students,2023,Gonda,9.3,9.1-10,3,Beginner,0-2 Lakh,6,5-10 LPA,no
1535,Robert,robert@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vishwakarma Institute Of Technology, Pune",N/A,N/A,,Students,2024,Gorakhpur,6.4,6.0 - 7.0,6,Intermediate,0-2 Lakh,8,5-10 LPA,no
1536,Curtis,curtis@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",N/A,N/A,,Students,2023,Hamirpur,8.4,8.1-9.0,5,Intermediate,2-5 Lakh,11,10-20LPA,no
1537,Mary,mary@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Priyadarshini College Of Engineering, Nagpur ",N/A,N/A,,Students,2026,Deoria,6.6,6.0 - 7.0,6,Intermediate,0-2 Lakh,20,10-20LPA,yes
1538,Edna,edna@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Late G. N. Sapkal College Of Engineering,N/A,N/A,,Students,2025,Kanpur,7.2,7.1-8.0,8,Expert,0-2 Lakh,9,5-10 LPA,no
1539,Joshua,joshua@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Symbiosis Institute Of Technology, Pune",N/A,N/A,,Students,2023,Lucknow,7.1,7.1-8.0,5,Intermediate,0-2 Lakh,5,5-10 LPA,no
1540,Amber,amber@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Mit Academy Of Engineering ,Alandi",N/A,N/A,,Sr. Manager,2024,Mathura,8,7.1-8.0,8,Expert,0-2 Lakh,8,5-10 LPA,no
1541,Cheryl,cheryl@xyz.com,1,Internship Program(IP) Success Conclave,Attending,A. C. Patil College Of Engineering,N/A,N/A,,Students,2023,Mainpuri,8.5,8.1-9.0,3,Beginner,0-2 Lakh,9,5-10 LPA,yes
1542,Linda,linda@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Wilson College ,N/A,N/A,,Civil Engineering,2024,Varanasi,8.5,8.1-9.0,6,Intermediate,0-2 Lakh,13,10-20LPA,yes
1543,Kathy,kathy@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",N/A,N/A,,Students,2026,Almora,9.1,9.1-10,8,Expert,0-2 Lakh,15,10-20LPA,no 
1544,George,george@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,N/A,N/A,,Students,2023,Alipore,9.7,9.1-10,3,Beginner,0-2 Lakh,14,10-20LPA,no 
1545,Belinda,belinda@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",N/A,N/A,,Students,2025,Haora,8.7,8.1-9.0,6,Intermediate,0-2 Lakh,12,10-20LPA,yes
1546,Robert,robert@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Government Polytechnic Gandhinagar,N/A,N/A,,Students,2024,Hugli,8.8,8.1-9.0,6,Intermediate,0-2 Lakh,20,10-20LPA,no
1547,Eugene,eugene@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",N/A,N/A,,Intern,2024,Kolkata,9.3,9.1-10,6,Intermediate,0-2 Lakh,20,10-20LPA,no
1548,Sharon,sharon@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vishwakarma Institute Of Technology, Pune",N/A,N/A,,Data Science and Analyst,2023,Malda,7.6,7.1-8.0,3,Beginner,0-2 Lakh,14,10-20LPA,no
1549,Micheal,micheal@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",N/A,N/A,,Students,2023,Palashi,6.5,6.0 - 7.0,3,Beginner,0-2 Lakh,16,10-20LPA,yes
1550,Barbara,barbara@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Priyadarshini College Of Engineering, Nagpur ",N/A,N/A,,Students,2025,Santipur,8.7,8.1-9.0,5,Intermediate,0-2 Lakh,9,5-10 LPA,no
1551,Mary,mary@xyz.com,1,Internship Program(IP) Success Conclave,Attending,St.Francis Institute Of Technology,N/A,N/A,,Students,2026,Siliguri,9.1,9.1-10,6,Intermediate,0-2 Lakh,17,10-20LPA,no
1552,Clay,clay@xyz.com,1,Internship Program(IP) Success Conclave,Attending,New Horizon Institute Of Technology And Management ,N/A,N/A,,Civil Engineering,2025,Silguri,9.2,9.1-10,5,Intermediate,2-5 Lakh,9,5-10 LPA,no
1553,Wayne,wayne@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Late G. N. Sapkal College Of Engineering,N/A,N/A,,Students,2024,Siuri,7.3,7.1-8.0,8,Expert,2-5 Lakh,7,5-10 LPA,no
1554,Marilyn,marilyn@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Symbiosis Institute Of Technology, Pune",N/A,N/A,,Flutter Developer,2024,Talmuk,7.6,7.1-8.0,5,Intermediate,2-5 Lakh,8,5-10 LPA,no
1555,Richard,richard@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Mit Academy Of Engineering ,Alandi",N/A,N/A,,Students,2023,Talmuk,7.1,7.1-8.0,3,Beginner,2-5 Lakh,6,5-10 LPA,yes
1556,Kathryn,kathryn@xyz.com,1,Internship Program(IP) Success Conclave,Attending,A. C. Patil College Of Engineering,N/A,N/A,,Students,2023,Siuri,8.3,8.1-9.0,5,Intermediate,2-5 Lakh,8,5-10 LPA,yes
1557,Thomas,thomas@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",N/A,N/A,,Students,2024,Orchha,9.9,9.1-10,8,Expert,2-5 Lakh,25,20-40LPA,no 
1558,William,william@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,N/A,N/A,,Students,2025,Sagar,9.3,9.1-10,5,Intermediate,2-5 Lakh,21,20-40LPA,yes
1559,Christian,christian@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Priyadarshini College Of Engineering, Nagpur ",N/A,N/A,,Intern,2026,Satna,7.1,7.1-8.0,5,Intermediate,2-5 Lakh,23,20-40LPA,yes
1560,Doris,doris@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vidyalankar Institute Of Technology, Mumbai",N/A,N/A,,Students,2024,Ujjain,7.5,7.1-8.0,3,Beginner,2-5 Lakh,9,5-10 LPA,no
1561,Luis,luis@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Chhattisgarh Swami Vivekananda Technical University Teaching Department Bhilai,N/A,N/A,,Artificial intelligence,2023,Vidisha,7.3,7.1-8.0,8,Expert,0-2 Lakh,7,5-10 LPA,no
1562,James,james@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Silicon Institute Of Technology,N/A,N/A,,Students,2023,Akola,7.4,7.1-8.0,3,Beginner,0-2 Lakh,5,5-10 LPA,no
1563,Kelly,kelly@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Adhiyamaan College Of Engineering,N/A,N/A,,Students,2024,Aurangabad,8.3,8.1-9.0,3,Beginner,2-5 Lakh,8,5-10 LPA,yes
1564,Gary,gary@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Pillai College Of Engineering New Panvel,N/A,N/A,,Students,2025,Bhsawal,6.7,6.0 - 7.0,8,Expert,7 Lakh+,18,10-20LPA,no
1565,Mark,mark@xyz.com,1,Internship Program(IP) Success Conclave,Attending,St Xavier'S College ,N/A,N/A,,Students,2023,Bid,7.3,7.1-8.0,8,Expert,0-2 Lakh,23,20-40LPA,no
1566,Donald,donald@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vidyalankar Institute Of Technology, Mumbai",N/A,N/A,,Engineering ,2024,Buldhana,9.7,9.1-10,8,Expert,0-2 Lakh,26,20-40LPA,no
1567,George,george@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Lokmanya Tilak College Of Engineering Koparkhairane Navi Mumbai,N/A,N/A,,Professor,2023,Dhule,7.9,7.1-8.0,3,Beginner,0-2 Lakh,8,5-10 LPA,no
1568,Ann,ann@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Priyadarshini College Of Engineering, Nagpur ",N/A,N/A,,Students,2024,Jalgaon,7.2,7.1-8.0,5,Intermediate,0-2 Lakh,9,5-10 LPA,yes
1569,John,john@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vidyalankar Institute Of Technology, Mumbai",N/A,N/A,,Students,2026,Kalyan,7.1,7.1-8.0,3,Beginner,2-5 Lakh,9,5-10 LPA,yes
1570,Gene,gene@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Adhiyamaan College Of Engineering,N/A,N/A,,Students,2025,Mumbai,8.2,8.1-9.0,8,Expert,0-2 Lakh,11,10-20LPA,yes
